Date,Team Name,Team Size,Start Time,End Time
2023-01-10,Forever Single,1,09:30:00,
2023-01-10,Really Stuck In Traffic,3,09:08:00,
2023-01-10,SILQ,2,08:48:00,
2023-01-10,Dragonball Z,6,08:10:00,
2023-01-10,Redbeer,4,08:05:00,
2023-01-10,French Fries,3,08:01:00,
2023-01-10,Butterflies,4,08:00:00,
2023-01-10,UPIG,5,07:55:00,
2023-01-10,The Baard,5,07:45:00,
2023-01-10,Maverick,3,07:40:00,
2023-01-10,Overslept,3,07:15:00,
2023-01-10,Plumbers,6,09:40:00,10:40:00
2023-01-10,Bong Bros,4,08:15:00,09:40:00
2023-01-10,Desi Crispy Chilli Baby Potatoes,4,07:20:00,08:46:00
2023-01-10,First Quad,3,08:05:00,09:44:00
2023-01-10,Misfits,5,08:20:00,10:15:00
2023-01-10,Wellfed Workers,3,08:16:00,10:24:00
2023-01-10,The Late Wanderers,4,07:50:00,10:00:00
2023-01-10,Siddy's Fan Club,1,07:30:00,09:45:00
2023-01-10,Bali Babies,4,07:30:00,10:00:00
2023-01-10,Whatson 10th Jan,4,07:20:00,09:58:00
2023-01-10,Zookeepers,2,08:15:00,11:00:00
2023-01-10,Achievable Goals,4,07:15:00,10:00:00
2023-01-10,Stuck In Traffic,4,08:10:00,11:00:00
2023-01-10,Placeholders,2,08:00:00,10:50:00
2023-01-10,Dosas,4,07:40:00,10:40:00
2023-01-10,Hitchhiking Hobbits,4,07:25:00,10:30:00
2023-01-10,Swatcattos,4,07:04:00,10:15:00
2023-01-10,Aibohphobia,4,07:15:00,10:30:00
2023-01-10,Valiant Vanquishers,3,07:06:00,11:00:00
2023-02-14,Nerds Out by 10,3,06:45:00,
2023-02-14,Buri Buri Zaimon,4,06:50:00,
2023-02-14,Together Alone,3,07:00:00,
2023-02-14,Grey Matter,6,07:00:00,09:50:00
2023-02-14,Siddy's Fan Club,2,07:10:00,09:40:00
2023-02-14,Magic Mushrooms,2,07:00:00,
2023-02-14,Sith Lords,3,07:10:00,09:40:00
2023-02-14,80nb,2,07:11:00,
2023-02-14,Shreyansh's Fanclub,3,07:14:00,09:57:00
2023-02-14,Invictus,3,07:16:00,
2023-02-14,The 3/2 musketeers,3,07:30:00,10:00:00
2023-02-14,The anthropologist,2,07:40:00,
2023-02-14,Traffic Yams,4,08:00:00,09:15:00
2023-02-14,Orange cat,2,07:58:00,
2023-02-14,A Volumptuous Bite,2,07:55:00,
2023-02-14,Placeholders,4,07:55:00,10:15:00
2023-02-14,Spicy Desi Chilli Crispy Baby Potatoes,3,08:02:00,09:35:00
2023-02-14,Well-fed workers,2,08:20:00,
2023-02-14,VIT,2-?,08:20:00,
2023-02-14,The Lightsabers,2,08:24:00,
2023-02-14,Accio,2,08:25:00,
2023-02-14,unknown,3,08:28:00,
2023-02-14,Pharmeasy,3,08:45:00,
2023-02-14,We suck at team names,3,08:50:00,
2023-02-14,The exhausted,3,08:50:00,
2023-02-14,ABC,1,09:10:00,
2023-03-14,Siddy's Fanclub,5,07:15:00,08:25:00
2023-03-14,Well-fed workers,3,07:12:00,08:37:00
2023-03-14,Spicy Desi Crispy Chilli Baby Potatoes,4,07:08:00,08:45:00
2023-03-14,Gus' Team,2,07:45:00,08:53:00
2023-03-14,Cerulian Blue Stars,3,07:10:00,09:05:00
2023-03-14,The Bong Bros,3,08:00:00,09:17:00
2023-03-14,Placeholders,7,07:35:00,09:21:00
2023-03-14,Sushi,2,07:15:00,09:25:00
2023-03-14,HSV,3,07:30:00,09:29:00
2023-03-14,Invictus,3,07:11:00,09:40:00
2023-03-14,Nerds Night Out,2,07:18:00,09:40:00
2023-03-14,Unhinged,3,07:10:00,09:44:00
2023-03-14,Grey Matter,2,07:11:00,09:48:00
2023-03-14,Why,3,07:15:00,
2023-03-14,Embassy Heritage,4,07:23:00,
2023-03-14,Uzzled Int,4,07:27:00,
2023-03-14,Gravity,3,08:10:00,
2023-03-14,Serial Daters,2,07:15:00,
2023-03-14,Thakur ke do haath,4,07:15:00,
2023-03-14,Kachumber,2,07:23:00,
2023-03-14,Quack Meow,2,07:29:00,
2023-03-14,Bladebreakers,4,07:35:00,
2023-03-14,RSVP,3,07:30:00,
2023-03-14,Cavities,4,07:30:00,
2023-03-14,Bond 007,4,07:35:00,
2023-03-14,Sober Saints,2,07:48:00,
2023-03-14,Snakeoil Salespeople,2,08:00:00,
2023-03-14,Accio,3,08:00:00,
2023-03-14,Plumbers,5,08:05:00,
2023-03-14,Achievable Goals,4,08:15:00,
2023-03-14,<single person at the bar>,1,08:35:00,
2023-03-14,<solving online but IRL>,4,08:45:00,
2023-04-11,Kitties & Kuddles,2,08:39:00,
2023-04-11,Jumbled Hearts,2,08:35:00,
2023-04-11,Codemasters,2,08:27:00,
2023-04-11,Sikander,2,08:15:00,
2023-04-11,The Exhausted,3,07:54:00,
2023-04-11,Team Titans Go!!,3,07:27:00,
2023-04-11,Late Comer,2,07:22:00,
2023-04-11,The Frozen Sisters,2,07:16:00,
2023-04-11,The Two Muscateers,2,07:14:00,
2023-04-11,Kitty Hawk Lane,4,06:55:00,
2023-04-11,Tetra Pak,4,06:52:00,
2023-04-11,Hot & Spicy Desi Crispy Chilli Baby Potatoes,4,07:03:00,08:05:00
2023-04-11,Siddy's fan club no more,7,06:45:00,08:00:00
2023-04-11,Well-fed Workers,3,07:47:00,09:02:00
